Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785041012,50,,Aggregated,8.300000,6.400000,5,6,6,6,11,17,46,52,55,55,55,525,414,5,6.982134056188876,2.30620801448822,54.66108396649361,32.820952380952384
1785041013,50,,Aggregated,8.400000,6.600000,5,6,6,6,11,17,46,52,55,55,55,532,420,5,6.957297547960206,2.30620801448822,54.66108396649361,32.78947368421053
1785041014,50,,Aggregated,8.300000,6.700000,5,6,6,6,11,17,46,52,55,55,55,538,426,5,6.9335460101105415,2.30620801448822,54.66108396649361,32.76951672862454
1785041015,50,,Aggregated,7.900000,6.500000,5,6,6,6,10,17,46,52,55,55,55,542,429,5,6.9252629972722834,2.30620801448822,54.66108396649361,32.74907749077491
1785041016,50,,Aggregated,7.800000,6.600000,5,6,6,6,10,17,46,52,55,55,55,553,439,5,6.887559753094899,2.30620801448822,54.66108396649361,32.707052441229656
1785041017,50,,Aggregated,7.200000,6.100000,5,6,6,6,10,17,46,52,55,55,55,559,445,5,6.867566342550548,2.30620801448822,54.66108396649361,32.688729874776385
1785041018,50,,Aggregated,6.800000,5.700000,5,6,6,6,10,17,46,52,55,55,55,568,454,5,6.832280669699121,2.30620801448822,54.66108396649361,32.66197183098591
1785041019,50,,Aggregated,7.400000,6.500000,5,6,6,6,9,17,46,52,55,55,55,575,461,5,6.812458049262995,2.30620801448822,54.66108396649361,32.641739130434786
1785041020,50,,Aggregated,7.400000,6.700000,5,6,6,6,9,17,46,52,55,55,55,582,466,5,6.792942304852262,2.30620801448822,54.66108396649361,32.608247422680414
1785041021,50,,Aggregated,7.400000,6.800000,5,6,6,6,9,17,46,52,55,55,55,587,469,5,6.784055160883706,2.30620801448822,54.66108396649361,32.5809199318569
1785041022,50,,Aggregated,7.000000,6.600000,5,6,6,6,9,17,46,52,55,55,55,595,477,5,6.759173328354328,2.30620801448822,54.66108396649361,32.55966386554622
1785041023,50,,Aggregated,7.200000,6.600000,5,6,6,6,9,17,46,52,55,55,55,604,485,5,6.737393774022811,2.30620801448822,54.66108396649361,32.52980132450331
1785041024,50,,Aggregated,6.500000,5.800000,5,6,6,6,9,17,46,52,55,55,55,615,494,5,6.700307394499035,2.30620801448822,54.66108396649361,32.489430894308946
1785041025,50,,Aggregated,6.900000,6.200000,5,6,6,6,9,17,46,52,55,55,55,619,498,5,6.688700467934877,2.30620801448822,54.66108396649361,32.47980613893377
1785041026,50,,Aggregated,7.200000,6.500000,5,6,6,6,8,16,46,52,55,55,55,624,503,5,6.6741859754517625,2.30620801448822,54.66108396649361,32.467948717948715
1785041027,50,,Aggregated,7.700000,6.800000,5,6,6,6,8,16,46,52,55,55,55,629,507,5,6.667237757706633,2.30620801448822,54.66108396649361,32.449920508744036
1785041028,50,,Aggregated,7.700000,6.900000,5,6,6,6,8,16,46,52,55,55,55,636,514,5,6.649072994602516,2.30620801448822,54.66108396649361,32.43396226415094
